corpus,metric,term,n,df,F,p,partial_eta_sq,effect_size,sig
hotpotqa,ragas_answer_relevance,C(format):C(chunking),36,4.0,0.12215941459666217,0.9733199111332125,0.017775986735289073,small,ns
msmarco,ragas_answer_relevance,C(format),36,2.0,0.13330309199382973,0.8757722109470927,0.009777754598011695,negligible,ns
msmarco,ragas_answer_relevance,C(chunking),36,2.0,0.1599316901507756,0.8530033812702149,0.011708088574563751,small,ns
msmarco,ragas_answer_relevance,C(format):C(chunking),36,4.0,0.2255355150000527,0.921733990229986,0.03233235849994106,small,ns
bpolicy,factscore,C(format),36,2.0,0.014523350568679693,0.9855892985841078,0.0010746476358760046,negligible,ns
bpolicy,factscore,C(chunking),36,2.0,1.5100993390836686,0.2389613852659008,0.10060555263292859,medium,ns
bpolicy,factscore,C(format):C(chunking),36,4.0,0.12280137535707861,0.9730642774180572,0.017867732333629156,small,ns
financebench,factscore,C(format),36,2.0,3.7360325581383176,0.03694896236468347,0.21675710727143407,large,*
financebench,factscore,C(chunking),36,2.0,0.22820019793654317,0.7974844482806388,0.016622732379066227,small,ns
financebench,factscore,C(format):C(chunking),36,4.0,0.1319375861280776,0.969322806548375,0.0191715755158873,small,ns
hotpotqa,factscore,C(format),36,2.0,0.3052260078394059,0.7394662240595012,0.02210945388841015,small,ns
hotpotqa,factscore,C(chunking),36,2.0,0.01930546694777589,0.9808932171598319,0.0014279925100423405,negligible,ns
hotpotqa,factscore,C(format):C(chunking),36,4.0,0.05557887158560287,0.9939012397644558,0.008166663355802647,negligible,ns
msmarco,factscore,C(format),36,2.0,2.958858276374072,0.06888265031714753,0.17977299680752312,large,ns
msmarco,factscore,C(chunking),36,2.0,1.5625711074949298,0.22796484980470402,0.10373867093098174,medium,ns
msmarco,factscore,C(format):C(chunking),36,4.0,0.5227644076561578,0.7197913710521009,0.07187973903098459,medium,ns
bpolicy,selfcheck_consistency,C(format),36,2.0,0.01874717950941697,0.9814402192780242,0.0013867542058802883,negligible,ns
bpolicy,selfcheck_consistency,C(chunking),36,2.0,2.2347234580681747,0.1264467959726742,0.1420249592580092,large,ns
bpolicy,selfcheck_consistency,C(format):C(chunking),36,4.0,0.30676994230267585,0.8708860905379537,0.0434717221633804,small,ns
financebench,selfcheck_consistency,C(format),36,2.0,0.11250589132704474,0.8940087819598954,0.008264892021000026,negligible,ns
financebench,selfcheck_consistency,C(chunking),36,2.0,0.049492825357431124,0.9517981225797749,0.003652743759146979,negligible,ns
financebench,selfcheck_consistency,C(format):C(chunking),36,4.0,0.43345686980781056,0.7832141703726591,0.06034098591579732,medium,ns
hotpotqa,selfcheck_consistency,C(format),36,2.0,0.008100896435239103,0.991934237369303,0.0005997065388649054,negligible,ns
hotpotqa,selfcheck_consistency,C(chunking),36,2.0,3.353399358404356,0.050029304253677694,0.1989746571057252,large,ns
hotpotqa,selfcheck_consistency,C(format):C(chunking),36,4.0,0.15058013451529004,0.9611187340138361,0.021821373215002462,small,ns
msmarco,selfcheck_consistency,C(format),36,2.0,0.4782860355497852,0.6249969707709168,0.0342163577375224,small,ns
msmarco,selfcheck_consistency,C(chunking),36,2.0,1.3585822763189634,0.2740383433699167,0.09143417932168532,medium,ns
msmarco,selfcheck_consistency,C(format):C(chunking),36,4.0,0.23781221162901706,0.9144921296177998,0.03403242737880869,small,ns
bpolicy,recall_at_5,C(format),18,2.0,1.0000000000000533,0.405344429705885,0.18181818181818973,large,ns
bpolicy,recall_at_5,C(chunking),18,2.0,1.0000000000001208,0.40534442970586265,0.1818181818181998,large,ns
bpolicy,recall_at_5,C(format):C(chunking),18,4.0,1.0000000000000657,0.4557897439910188,0.30769230769232175,large,ns
financebench,recall_at_5,C(format),18,2.0,0.047619047619049004,0.9537355392968339,0.010471204188481978,small,ns
financebench,recall_at_5,C(chunking),18,2.0,0.3333333333333003,0.7250132576219,0.06896551724137294,medium,ns
financebench,recall_at_5,C(format):C(chunking),18,4.0,0.04761904761904778,0.9949365250954163,0.020725388601036343,small,ns
hotpotqa,recall_at_5,C(format),18,2.0,14.333333333332778,0.001593250058287381,0.7610619469026477,large,**
hotpotqa,recall_at_5,C(chunking),18,2.0,956.3333333333344,3.292608055546655e-11,0.995316565481353,large,***
hotpotqa,recall_at_5,C(format):C(chunking),18,4.0,6.833333333333202,0.00821710992187617,0.7522935779816478,large,**
msmarco,recall_at_5,C(format),18,2.0,0.7301679724983478,0.5083185349847514,0.1396069832437066,medium,ns
msmarco,recall_at_5,C(chunking),18,2.0,11.010294487558117,0.0038165074590422476,0.709870112162618,large,**
msmarco,recall_at_5,C(format):C(chunking),18,4.0,0.39893235450302145,0.8048558631570923,0.15060118610611595,large,ns
bpolicy,mrr,C(format),18,2.0,1.6174066083797565,0.251132688744179,0.2643941643774664,large,ns
bpolicy,mrr,C(chunking),18,2.0,33.16475530827796,7.042845079798543e-05,0.8805249108040537,large,***
bpolicy,mrr,C(format):C(chunking),18,4.0,0.621040081753129,0.6589622988501602,0.2163118814328452,large,ns
financebench,mrr,C(format),18,2.0,6.45634482568726,0.018237306500628304,0.5892790824317883,large,*
financebench,mrr,C(chunking),18,2.0,2.2018634084554227,0.16656211896278977,0.32854495447899407,large,ns
financebench,mrr,C(format):C(chunking),18,4.0,0.6306451088031219,0.6530003973056691,0.21892495777279153,large,ns
hotpotqa,mrr,C(format),18,2.0,10.436278903029024,0.004522363284453454,0.698720141126488,large,**
hotpotqa,mrr,C(chunking),18,2.0,123.77863416383437,2.83636318494382e-07,0.9649201129296971,large,***
hotpotqa,mrr,C(format):C(chunking),18,4.0,6.158092848180888,0.011395331032984271,0.7324006715165148,large,*
msmarco,mrr,C(format),18,2.0,37.178272453302654,4.465423154061473e-05,0.8920300738222317,large,***
msmarco,mrr,C(chunking),18,2.0,13.002507752558873,0.0022156699003073807,0.7428939861865166,large,**
msmarco,mrr,C(format):C(chunking),18,4.0,2.3401462431027316,0.13315281475254234,0.509819539327117,large,ns
bpolicy,ndcg_at_5,C(format),18,2.0,1.7163066041362944,0.23364709798103944,0.27609748254603045,large,ns
bpolicy,ndcg_at_5,C(chunking),18,2.0,27.260013838702555,0.000151702674892779,0.8583124043064386,large,***
bpolicy,ndcg_at_5,C(format):C(chunking),18,4.0,0.5386330437456583,0.7115629836587524,0.19315307367303264,large,ns
financebench,ndcg_at_5,C(format),18,2.0,3.6211208052419064,0.07017532669346771,0.44588929189485726,large,ns
financebench,ndcg_at_5,C(chunking),18,2.0,1.4377852598047893,0.28717466245731416,0.24214167351886653,large,ns
financebench,ndcg_at_5,C(format):C(chunking),18,4.0,0.4388362348008085,0.7779266018586197,0.16320675432779488,large,ns
hotpotqa,ndcg_at_5,C(format),18,2.0,24.6590223944866,0.00022283222385536858,0.8456738384737185,large,***
hotpotqa,ndcg_at_5,C(chunking),18,2.0,1945.4716838932004,1.3624762480071427e-12,0.9976922741816356,large,***
hotpotqa,ndcg_at_5,C(format):C(chunking),18,4.0,8.001399655469251,0.004905665606951918,0.7805177755605698,large,**
msmarco,ndcg_at_5,C(format),18,2.0,21.940560728629862,0.0003461292786181352,0.8298069376748355,large,***
msmarco,ndcg_at_5,C(chunking),18,2.0,11.108162342349395,0.0037099950569282653,0.7116893134952719,large,**
msmarco,ndcg_at_5,C(format):C(chunking),18,4.0,1.8150871402600064,0.2101209439173984,0.4465063300325493,large,ns
bpolicy,ctx_tokens_per_query,C(format),18,2.0,0.06529884467108162,0.9372271461878632,0.014303301249884822,small,ns
bpolicy,ctx_tokens_per_query,C(chunking),18,2.0,1.8875483568049682,0.20675327978394448,0.2955043549367529,large,ns
bpolicy,ctx_tokens_per_query,C(format):C(chunking),18,4.0,0.015430139315381897,0.9994349710558907,0.006811130057643233,negligible,ns
financebench,ctx_tokens_per_query,C(format),18,2.0,0.023296707501872266,0.9770312803041876,0.005150382344636989,negligible,ns
financebench,ctx_tokens_per_query,C(chunking),18,2.0,0.2513291203865771,0.7830478401986384,0.052896592515175735,small,ns
financebench,ctx_tokens_per_query,C(format):C(chunking),18,4.0,0.0021182554663803565,0.9999890763903998,0.0009405613853708128,negligible,ns
hotpotqa,ctx_tokens_per_query,C(format),18,2.0,490.9137801703268,6.487837156404002e-10,0.9909166838305288,large,***
hotpotqa,ctx_tokens_per_query,C(chunking),18,2.0,8962.131580108628,1.4210990381574528e-15,0.9994981393001601,large,***
hotpotqa,ctx_tokens_per_query,C(format):C(chunking),18,4.0,1.4054626483697257,0.30744744176683947,0.3844828366654322,large,ns
msmarco,ctx_tokens_per_query,C(format),18,2.0,1838.313163481967,1.7570755511673622e-12,0.997558081259037,large,***
msmarco,ctx_tokens_per_query,C(chunking),18,2.0,5734.526539278175,1.0584839158949018e-14,0.9992158948962508,large,***
msmarco,ctx_tokens_per_query,C(format):C(chunking),18,4.0,11.707612981498661,0.0012945152761520411,0.838797650931971,large,**
