run_id,commit,timestamp,cell_type,corpus,format,chunking,chunk_size,generator,reranked,late_chunking,n_docs,n_chunks,n_questions,recall_at_5,mrr,ndcg_at_5,faithfulness,ragas_faithfulness,ragas_answer_relevance,factscore,selfcheck_consistency,indexing_tokens,retrieval_tokens,prompt_tokens,output_tokens,ctx_tokens_per_query,contextualization_overhead_pct,token_saving_vs_baseline_pct,latency_s_mean,latency_s_p95,cost_usd,quality,cost,latency,composite_score
bpolicy_yaml_fixed_512_gpt,26f217f,2026-07-31T03:32:23+00:00,core,bpolicy,yaml,fixed,512,gpt,0,0,36,851,50,0.98,0.97,0.9726,0.96,0.911,0.9041,0.9113,0.9918,560604,3263.3,3309.2,22.9,3263.3,9.33,0.05,1.06,1.56,1.1172,0.8192696048885842,0.7897714188451797,0.888,0.8192547990401049
bpolicy_yaml_fixed_512_claude,26f217f,2026-07-31T03:32:23+00:00,core,bpolicy,yaml,fixed,512,claude,0,0,36,851,50,0.98,0.97,0.9726,0.964,0.927,0.899,0.9347,0.9822,560604,3263.3,3309.2,81.4,3263.3,9.33,0.05,1.8,2.78,1.1172,0.7525304975704903,0.7897714188451797,0.29600000000000004,0.697085245381058
bpolicy_json_recursive_256_gpt,26f217f,2026-07-31T05:09:59+00:00,core,bpolicy,json,recursive,256,gpt,0,0,36,2210,50,0.98,0.98,0.98,0.95,0.9357,0.9108,0.9267,0.9887,675893,1725.4,1771.3,22.5,1725.4,23.64,,0.97,1.57,0.70925,0.8892112766485153,0.9437508135006057,0.9600000000000001,0.9189184230494697
bpolicy_json_recursive_256_claude,26f217f,2026-07-31T05:09:59+00:00,core,bpolicy,json,recursive,256,claude,0,0,36,2210,50,0.98,0.98,0.98,0.99,0.9696,0.9004,0.978,0.9854,675893,1725.4,1771.3,71.6,1725.4,23.64,,1.7,2.58,0.70925,0.8536889685191454,0.9437508135006057,0.3760000000000001,0.8135572689847848
bpolicy_toon_recursive_256_gpt,26f217f,2026-07-31T05:59:57+00:00,core,bpolicy,toon,recursive,256,gpt,0,0,36,2210,50,0.98,0.98,0.98,0.93,0.9257,0.9101,0.893,0.9885,682556,1623.6,1669.4,22.8,1623.6,23.64,-0.99,1.0,1.52,0.58595,0.8564828018614791,0.9539533626360424,0.936,0.9025250778533543
bpolicy_toon_recursive_256_claude,26f217f,2026-07-31T05:59:57+00:00,core,bpolicy,toon,recursive,256,claude,0,0,36,2210,50,0.98,0.98,0.98,0.99,0.9746,0.8998,0.9707,0.9809,682556,1623.6,1669.4,73.3,1623.6,23.64,-0.99,1.69,2.31,0.58595,0.8213508104570794,0.9539533626360424,0.3840000000000001,0.8021590821511545
bpolicy_yaml_recursive_256_gpt,26f217f,2026-07-31T06:40:12+00:00,core,bpolicy,yaml,recursive,256,gpt,0,0,36,2210,50,0.98,0.98,0.98,0.95,0.9473,0.908,0.9283,0.9865,675635,1650.2,1696.1,23.0,1650.2,23.64,0.04,1.03,1.66,0.6882,0.8657776605294325,0.9512800744916247,0.912,0.9026368563367849
bpolicy_yaml_recursive_256_claude,26f217f,2026-07-31T06:40:12+00:00,core,bpolicy,yaml,recursive,256,claude,0,0,36,2210,50,0.98,0.98,0.98,1.0,0.978,0.8994,0.9867,0.9807,675635,1650.2,1696.1,75.1,1650.2,23.64,0.04,1.88,3.14,0.6882,0.8294860174852244,0.9512800744916247,0.2320000000000001,0.7824910348146809
bpolicy_json_recursive_512_gpt,26f217f,2026-07-31T08:19:25+00:00,core,bpolicy,json,recursive,512,gpt,0,0,36,1253,50,0.98,0.98,0.98,0.97,0.936,0.9036,0.94,0.9866,592978,2654.0,2699.9,23.2,2654.0,13.55,,1.06,1.61,0.9826,0.8377627250022904,0.8507764550396988,0.888,0.8498531217650398
bpolicy_json_recursive_512_claude,26f217f,2026-07-31T08:19:25+00:00,core,bpolicy,json,recursive,512,claude,0,0,36,1253,50,0.98,0.98,0.98,0.99,0.9522,0.8912,0.9751,0.9806,592978,2654.0,2699.9,75.5,2654.0,13.55,,1.93,3.12,0.9826,0.7520434330118843,0.8507764550396988,0.19200000000000017,0.7025934757698368
bpolicy_toon_recursive_512_gpt,26f217f,2026-07-31T09:19:33+00:00,core,bpolicy,toon,recursive,512,gpt,0,0,36,1253,50,0.98,0.98,0.98,0.965,0.956,0.905,0.9667,0.9914,596753,2474.3,2520.2,23.8,2474.3,13.55,-0.64,1.1,1.82,0.9337,0.9045029986385339,0.8687685853599928,0.856,0.8847205041952644
bpolicy_toon_recursive_512_claude,26f217f,2026-07-31T09:19:33+00:00,core,bpolicy,toon,recursive,512,claude,0,0,36,1253,50,0.98,0.98,0.98,0.99,0.9681,0.8965,0.979,0.9868,596753,2474.3,2520.2,78.8,2474.3,13.55,-0.64,1.91,3.0,0.9337,0.8361847699657593,0.8687685853599928,0.20800000000000007,0.7533613898588771
bpolicy_yaml_recursive_512_gpt,26f217f,2026-07-31T10:19:03+00:00,core,bpolicy,yaml,recursive,512,gpt,0,0,36,1253,50,0.98,0.98,0.98,1.0,0.952,0.9079,0.9583,0.9909,592829,2538.8,2584.7,23.2,2538.8,13.55,0.03,1.1,1.74,0.9542,0.9128920869557269,0.8623106420897705,0.856,0.886654768209283
bpolicy_yaml_recursive_512_claude,26f217f,2026-07-31T10:19:03+00:00,core,bpolicy,yaml,recursive,512,claude,0,0,36,1253,50,0.98,0.98,0.98,0.989,0.9523,0.8937,0.9746,0.98,592829,2538.8,2584.7,80.0,2538.8,13.55,0.03,1.86,2.91,0.9542,0.7646037795367134,0.8623106420897705,0.248,0.7213106144997764
bpolicy_json_semantic_256_gpt,26f217f,2026-07-31T12:52:23+00:00,core,bpolicy,json,semantic,256,gpt,0,0,36,2612,50,0.98,0.9567,0.9626,0.96,0.9013,0.9094,0.926,0.988,695619,1581.6,1627.5,24.0,1581.6,27.97,,1.08,1.63,0.67355,0.8075181326046156,0.9581485226829,0.872,0.8699110492413228
bpolicy_json_semantic_256_claude,26f217f,2026-07-31T12:52:23+00:00,core,bpolicy,json,semantic,256,claude,0,0,36,2612,50,0.98,0.9567,0.9626,0.975,0.9368,0.9044,0.9494,0.9781,695619,1581.6,1627.5,77.3,1581.6,27.97,,1.86,2.82,0.67355,0.7516425427165879,0.9581485226829,0.248,0.7483732542973089
bpolicy_toon_semantic_256_gpt,26f217f,2026-07-31T13:34:42+00:00,core,bpolicy,toon,semantic,256,gpt,0,0,36,2612,50,0.98,0.955,0.9612,0.9566,0.8997,0.9093,0.8983,0.9893,701938,1383.8,1429.6,23.0,1383.8,27.97,-0.91,1.07,1.61,0.61205,0.7928334607975501,0.9779628943600629,0.88,0.8707037434247971
bpolicy_toon_semantic_256_claude,26f217f,2026-07-31T13:34:42+00:00,core,bpolicy,toon,semantic,256,claude,0,0,36,2612,50,0.98,0.955,0.9612,0.967,0.9589,0.8981,0.9637,0.9793,701938,1383.8,1429.6,77.7,1383.8,27.97,-0.91,1.98,3.13,0.61205,0.7361648861805494,0.9779628943600629,0.1519999999999999,0.7331694561162967
bpolicy_yaml_semantic_256_gpt,26f217f,2026-07-31T14:16:35+00:00,core,bpolicy,yaml,semantic,256,gpt,0,0,36,2612,50,0.98,0.9567,0.9626,0.9566,0.917,0.901,0.905,0.9847,693643,1399.7,1445.6,22.6,1399.7,27.97,0.28,1.04,1.63,0.6226,0.7293335713038799,0.9763609239364418,0.904,0.8419931090296946
bpolicy_yaml_semantic_256_claude,26f217f,2026-07-31T14:16:35+00:00,core,bpolicy,yaml,semantic,256,claude,0,0,36,2612,50,0.98,0.9567,0.9626,0.969,0.969,0.8994,0.9698,0.9799,693643,1399.7,1445.6,84.5,1399.7,27.97,0.28,2.01,3.46,0.6226,0.7620292717117477,0.9763609239364418,0.1280000000000001,0.7419409592336285
bpolicy_json_semantic_512_gpt,26f217f,2026-07-31T16:26:06+00:00,core,bpolicy,json,semantic,512,gpt,0,0,36,1870,50,0.98,0.9433,0.9526,0.9766,0.897,0.9065,0.922,0.9811,629739,2239.3,2285.2,23.4,2239.3,19.98,,1.13,1.81,0.8698,0.715170069530305,0.892297525956927,0.8320000000000001,0.794689168850077
bpolicy_json_semantic_512_claude,26f217f,2026-07-31T16:26:06+00:00,core,bpolicy,json,semantic,512,claude,0,0,36,1870,50,0.98,0.9433,0.9526,0.975,0.9625,0.9066,0.9579,0.9772,629739,2239.3,2285.2,79.8,2239.3,19.98,,1.81,2.78,0.8698,0.7549083867985251,0.892297525956927,0.28800000000000003,0.732958327484187
bpolicy_toon_semantic_512_gpt,26f217f,2026-07-31T20:55:02+00:00,core,bpolicy,toon,semantic,512,gpt,0,0,36,1870,50,0.96,0.94,0.9452,0.95,0.91,0.9055,0.9142,0.9854,633912,1998.4,2044.3,22.8,1998.4,19.98,-0.66,1.04,1.52,0.80405,0.6343884621986855,0.9164171931475715,0.904,0.7735402487009928
bpolicy_toon_semantic_512_claude,26f217f,2026-07-31T20:55:02+00:00,core,bpolicy,toon,semantic,512,claude,0,0,36,1870,50,0.96,0.94,0.9452,0.964,0.9617,0.9027,0.97,0.9703,633912,1998.4,2044.3,82.5,1998.4,19.98,-0.66,1.85,3.25,0.80405,0.5917254514540349,0.9164171931475715,0.256,0.6550087433286674
bpolicy_yaml_semantic_512_gpt,26f217f,2026-07-31T21:51:31+00:00,core,bpolicy,yaml,semantic,512,gpt,0,0,36,1870,50,0.98,0.9567,0.9626,0.9666,0.9113,0.9136,0.8607,0.9876,627977,1922.8,1968.7,23.1,1922.8,19.98,0.28,1.05,1.56,0.77845,0.7985720791159618,0.923986503399181,0.896,0.8570813157476942
bpolicy_yaml_semantic_512_claude,26f217f,2026-07-31T21:51:31+00:00,core,bpolicy,yaml,semantic,512,claude,0,0,36,1870,50,0.98,0.9567,0.9626,0.974,0.961,0.9027,0.9719,0.9658,627977,1922.8,1968.7,84.8,1922.8,19.98,0.28,1.91,2.9,0.77845,0.6955197966982883,0.923986503399181,0.20800000000000007,0.7023551745388575
bpolicy_json_fixed_256_late_gpt,d515950,2026-08-02T09:38:05+00:00,L_late_chunking,bpolicy,json,fixed,256,gpt,0,1,36,1682,50,0.98,0.95,0.9579,0.93,0.8973,0.9115,0.913,0.9936,634547,1870.2,1916.0,23.3,1870.2,18.13,,0.92,1.24,0.752,0.8317782024887087,0.9292629934819828,1.0,0.8911311489630483
bpolicy_json_fixed_256_late_claude,d515950,2026-08-02T09:38:05+00:00,L_late_chunking,bpolicy,json,fixed,256,claude,0,1,36,1682,50,0.98,0.95,0.9579,0.96,0.9697,0.8959,0.9752,0.9779,634547,1870.2,1916.0,74.5,1870.2,18.13,,1.77,3.0,0.752,0.7182195365806135,0.9292629934819828,0.32000000000000006,0.7323518160090008
bpolicy_toon_fixed_256_late_gpt,d515950,2026-08-02T10:37:09+00:00,L_late_chunking,bpolicy,toon,fixed,256,gpt,0,1,36,1682,50,0.98,0.95,0.9579,0.92,0.884,0.9099,0.8967,0.9889,639432,1826.7,1872.6,23.3,1826.7,18.13,-0.77,0.94,1.31,0.74705,0.7748628489677644,0.9336083382560549,0.9840000000000001,0.8617943428735013
bpolicy_toon_fixed_256_late_claude,d515950,2026-08-02T10:37:09+00:00,L_late_chunking,bpolicy,toon,fixed,256,claude,0,1,36,1682,50,0.98,0.95,0.9579,0.954,0.9333,0.8974,0.9628,0.9751,639432,1826.7,1872.6,83.9,1826.7,18.13,-0.77,1.99,3.11,0.74705,0.6812186267723997,0.9336083382560549,0.14400000000000013,0.6889722317758191
bpolicy_yaml_fixed_256_late_gpt,d515950,2026-08-02T11:36:02+00:00,L_late_chunking,bpolicy,yaml,fixed,256,gpt,0,1,36,1682,50,0.98,0.95,0.9579,0.93,0.8987,0.9086,0.8857,0.9876,634038,1895.9,1941.8,22.9,1895.9,18.13,0.08,0.99,1.91,0.7608,0.7608069225348303,0.9266798161738939,0.9440000000000001,0.846341396928278
bpolicy_yaml_fixed_256_late_claude,d515950,2026-08-02T11:36:02+00:00,L_late_chunking,bpolicy,yaml,fixed,256,claude,0,1,36,1682,50,0.98,0.95,0.9579,0.97,0.9592,0.899,0.9782,0.9753,634038,1895.9,1941.8,78.1,1895.9,18.13,0.08,1.79,2.6,0.7608,0.7183582893825967,0.9266798161738939,0.30400000000000005,0.7291170803521613
bpolicy_json_fixed_128_gpt,d515950,2026-08-02T13:50:35+00:00,S_chunk_size,bpolicy,json,fixed,128,gpt,0,0,36,3347,50,0.98,0.97,0.9726,0.99,0.9117,0.9106,0.9203,0.9923,783571,1163.6,1209.5,22.9,1163.6,36.08,,0.92,1.22,0.53065,0.8708984964155976,1.0,1.0,0.9354492482077988
bpolicy_json_fixed_128_claude,d515950,2026-08-02T13:50:35+00:00,S_chunk_size,bpolicy,json,fixed,128,claude,0,0,36,3347,50,0.98,0.97,0.9726,0.99,0.9586,0.8937,0.969,0.977,783571,1163.6,1209.5,69.2,1163.6,36.08,,1.52,2.26,0.53065,0.7271836070232564,1.0,0.52,0.7915918035116282
bpolicy_json_fixed_1024_gpt,d515950,2026-08-02T15:19:45+00:00,S_chunk_size,bpolicy,json,fixed,1024,gpt,0,0,36,435,50,0.98,0.9667,0.97,0.92,0.866,0.9099,0.8733,0.9867,524277,6055.3,6101.2,24.3,6055.3,5.0,,1.22,1.94,1.63905,0.7686371121235674,0.5102275799233057,0.76,0.6768982090349407
bpolicy_json_fixed_1024_claude,d515950,2026-08-02T15:19:45+00:00,S_chunk_size,bpolicy,json,fixed,1024,claude,0,0,36,435,50,0.98,0.9667,0.97,0.99,0.8404,0.8882,0.835,0.9789,524277,6055.3,6101.2,79.7,6055.3,5.0,,1.9,3.08,1.63905,0.5401087294359407,0.5102275799233057,0.21600000000000008,0.4810340176911273
bpolicy_json_fixed_2048_gpt,d515950,2026-08-02T18:15:03+00:00,S_chunk_size,bpolicy,json,fixed,2048,gpt,0,0,36,227,50,0.94,0.91,0.9179,0.9084,0.7523,0.9061,0.7705,0.9847,505470,11151.4,11197.2,24.2,11151.4,2.71,,1.39,2.59,2.61105,0.2918273655898267,0.0,0.6240000000000001,0.23951368279491336
bpolicy_json_fixed_2048_claude,d515950,2026-08-02T18:15:03+00:00,S_chunk_size,bpolicy,json,fixed,2048,claude,0,0,36,227,50,0.94,0.91,0.9179,0.984,0.7073,0.8933,0.7164,0.9721,505470,11151.4,11197.2,94.8,11151.4,2.71,,2.17,3.6,2.61105,0.07123435110179549,0.0,0.0,0.035617175550897745
financebench_json_fixed_256_gpt,26f217f,2026-07-30T10:11:05+00:00,core,financebench,json,fixed,256,gpt,0,0,41,97,50,0.98,0.904,0.9234,0.892,0.8387,0.8894,0.8158,0.9611,28814,1500.4,1557.1,98.3,1500.4,25.48,,2.35,5.77,0.71665,0.6256008097480887,0.8244879653161907,0.3999999999999999,0.6613711927347111
financebench_json_fixed_256_claude,26f217f,2026-07-30T10:11:05+00:00,core,financebench,json,fixed,256,claude,0,0,41,97,50,0.98,0.904,0.9234,0.939,0.8778,0.8748,0.9106,0.9582,28814,1500.4,1557.1,135.2,1500.4,25.48,,2.6,4.92,0.71665,0.6736572007179841,0.8244879653161907,0.2484848484848483,0.662672115492386
financebench_toon_fixed_256_gpt,26f217f,2026-07-30T10:43:31+00:00,core,financebench,toon,fixed,256,gpt,0,0,41,97,50,0.98,0.848,0.8812,0.896,0.8174,0.8922,0.8038,0.9636,29071,1449.4,1506.1,98.0,1449.4,25.48,-0.89,2.16,4.68,0.7,0.5871605744603556,0.8435491104798924,0.515151515151515,0.6660952031708675
financebench_toon_fixed_256_claude,26f217f,2026-07-30T10:43:31+00:00,core,financebench,toon,fixed,256,claude,0,0,41,97,50,0.98,0.848,0.8812,0.929,0.8464,0.8772,0.8896,0.9526,29071,1449.4,1506.1,138.7,1449.4,25.48,-0.89,2.57,4.19,0.7,0.5554267828477275,0.8435491104798924,0.2666666666666667,0.612955580091826
financebench_yaml_fixed_256_gpt,26f217f,2026-07-30T12:19:47+00:00,core,financebench,yaml,fixed,256,gpt,0,0,41,97,50,0.98,0.909,0.9268,0.927,0.8732,0.8875,0.8469,0.9649,28725,1504.3,1561.0,99.4,1504.3,25.48,0.31,2.19,4.43,0.3044,0.7196360148879369,0.8230303483330842,0.49696969696969695,0.7224240839060024
financebench_yaml_fixed_256_claude,26f217f,2026-07-30T12:19:47+00:00,core,financebench,yaml,fixed,256,claude,0,0,41,97,50,0.98,0.909,0.9268,0.942,0.8944,0.8757,0.9121,0.9511,28725,1504.3,1561.0,139.2,1504.3,25.48,0.31,2.46,3.85,0.3044,0.6551332783401654,0.8230303483330842,0.33333333333333326,0.6656272610866623
financebench_json_fixed_512_gpt,26f217f,2026-07-30T12:54:53+00:00,core,financebench,json,fixed,512,gpt,0,0,41,60,50,1.0,0.87,0.9034,0.909,0.8482,0.8954,0.8805,0.9626,25498,2423.3,2479.9,98.8,2423.3,15.74,,2.19,5.71,0.99185,0.7579341084551235,0.4795933622365076,0.49696969696969695,0.621370185555794
financebench_json_fixed_512_claude,26f217f,2026-07-30T12:54:53+00:00,core,financebench,json,fixed,512,claude,0,0,41,60,50,1.0,0.87,0.9034,0.973,0.8601,0.8816,0.9143,0.9581,25498,2423.3,2479.9,142.1,2423.3,15.74,,2.58,4.73,0.99185,0.6985697595356064,0.4795933622365076,0.2606060606060605,0.5562334656414899
financebench_toon_fixed_512_gpt,26f217f,2026-07-30T13:27:55+00:00,core,financebench,toon,fixed,512,gpt,0,0,41,60,50,1.0,0.87,0.9034,0.925,0.8309,0.8944,0.8654,0.966,25656,2359.0,2415.7,98.0,2359.0,15.74,-0.62,2.0,4.73,0.97195,0.7372808477916767,0.5035879802661085,0.6121212121212121,0.6367143988071581
financebench_toon_fixed_512_claude,26f217f,2026-07-30T13:27:55+00:00,core,financebench,toon,fixed,512,claude,0,0,41,60,50,1.0,0.87,0.9034,0.965,0.8543,0.8809,0.8777,0.9565,25656,2359.0,2415.7,146.9,2359.0,15.74,-0.62,2.55,4.02,0.97195,0.6356367450042336,0.5035879802661085,0.2787878787878788,0.5358923474134366
financebench_yaml_fixed_512_gpt,26f217f,2026-07-30T14:02:57+00:00,core,financebench,yaml,fixed,512,gpt,0,0,41,60,50,1.0,0.9,0.9256,0.912,0.8899,0.892,0.9074,0.9636,25438,2391.7,2448.4,104.2,2391.7,15.74,0.24,2.2,4.69,0.98465,0.842692485564999,0.4913664224846763,0.49090909090909074,0.6669608542884998
financebench_yaml_fixed_512_claude,26f217f,2026-07-30T14:02:57+00:00,core,financebench,yaml,fixed,512,claude,0,0,41,60,50,1.0,0.9,0.9256,0.945,0.8672,0.8766,0.923,0.953,25438,2391.7,2448.4,143.4,2391.7,15.74,0.24,2.58,4.07,0.98465,0.6700187568554129,0.4913664224846763,0.2606060606060605,0.5460785353882522
financebench_json_recursive_256_gpt,26f217f,2026-07-30T14:39:35+00:00,core,financebench,json,recursive,256,gpt,0,0,41,133,50,0.96,0.865,0.8891,0.91,0.8369,0.8902,0.8833,0.965,31956,1320.1,1376.8,89.8,1320.1,34.98,,2.26,4.8,0.65535,0.6850540535227237,0.8918747196890418,0.4545454545454546,0.7228649968343447
financebench_json_recursive_256_claude,26f217f,2026-07-30T14:39:35+00:00,core,financebench,json,recursive,256,claude,0,0,41,133,50,0.96,0.865,0.8891,0.967,0.8831,0.8697,0.9077,0.9627,31956,1320.1,1376.8,131.8,1320.1,34.98,,2.3,3.66,0.65535,0.632563489261224,0.8918747196890418,0.4303030303030304,0.6929833510672311
financebench_toon_recursive_256_gpt,26f217f,2026-07-30T15:13:38+00:00,core,financebench,toon,recursive,256,gpt,0,0,41,133,50,0.96,0.8707,0.8934,0.91,0.7956,0.8909,0.7962,0.9651,32299,1263.3,1320.0,93.1,1263.3,34.98,-1.07,2.66,5.64,0.64215,0.5456202056080414,0.9131036029301839,0.21212121212121193,0.6242145456477668
financebench_toon_recursive_256_claude,26f217f,2026-07-30T15:13:38+00:00,core,financebench,toon,recursive,256,claude,0,0,41,133,50,0.96,0.8707,0.8934,0.919,0.8477,0.8746,0.8882,0.9452,32299,1263.3,1320.0,136.1,1263.3,34.98,-1.07,2.43,4.16,0.64215,0.48074110473906084,0.9131036029301839,0.35151515151515134,0.6126840861223675
financebench_yaml_recursive_256_gpt,26f217f,2026-07-30T15:46:54+00:00,core,financebench,yaml,recursive,256,gpt,0,0,41,133,50,0.96,0.905,0.9191,0.895,0.7968,0.8876,0.8809,0.9604,31791,1288.0,1344.7,92.2,1288.0,34.98,0.52,3.01,5.36,0.6507,0.6101870485663404,0.9038720287038421,0.0,0.621448734329515
financebench_yaml_recursive_256_claude,26f217f,2026-07-30T15:46:54+00:00,core,financebench,yaml,recursive,256,claude,0,0,41,133,50,0.96,0.905,0.9191,0.959,0.8833,0.8707,0.9137,0.9468,31791,1288.0,1344.7,141.5,1288.0,34.98,0.52,2.49,4.33,0.6507,0.5603626385752541,0.9038720287038421,0.31515151515151496,0.643809256606699
financebench_json_recursive_512_gpt,26f217f,2026-07-30T16:20:37+00:00,core,financebench,json,recursive,512,gpt,0,0,41,78,50,1.0,0.889,0.9173,0.903,0.844,0.8922,0.8923,0.9644,26964,2209.2,2265.9,98.8,2209.2,20.03,,2.29,5.24,0.92585,0.7701968952571608,0.5595754223351771,0.4363636363636363,0.6464043909004378
financebench_json_recursive_512_claude,26f217f,2026-07-30T16:20:37+00:00,core,financebench,json,recursive,512,claude,0,0,41,78,50,1.0,0.889,0.9173,0.971,0.8824,0.8778,0.9091,0.9547,26964,2209.2,2265.9,138.2,2209.2,20.03,,2.43,3.95,0.92585,0.6851855429451413,0.5595754223351771,0.35151515151515134,0.5911714420171554
financebench_toon_recursive_512_gpt,26f217f,2026-07-30T16:51:57+00:00,core,financebench,toon,recursive,512,gpt,0,0,41,78,50,1.0,0.879,0.9099,0.912,0.8498,0.8943,0.8723,0.9636,27165,2138.3,2195.0,98.4,2138.3,20.03,-0.75,2.21,5.0,0.90515,0.7560833703469584,0.5860741515921662,0.48484848484848486,0.6558949109580101
financebench_toon_recursive_512_claude,26f217f,2026-07-30T16:51:57+00:00,core,financebench,toon,recursive,512,claude,0,0,41,78,50,1.0,0.879,0.9099,0.951,0.8656,0.8819,0.8893,0.9551,27165,2138.3,2195.0,142.8,2138.3,20.03,-0.75,2.33,4.23,0.90515,0.6637018690302877,0.5860741515921662,0.412121212121212,0.5987950693905838
financebench_yaml_recursive_512_gpt,26f217f,2026-07-30T17:24:49+00:00,core,financebench,yaml,recursive,512,gpt,0,0,41,78,50,1.0,0.9,0.9256,0.912,0.8753,0.8926,0.9064,0.9658,26884,2145.7,2202.4,96.8,2145.7,20.03,0.3,2.18,4.3,0.914,0.8423009727310653,0.5833084168037075,0.5030303030303029,0.7007629777013757
financebench_yaml_recursive_512_claude,26f217f,2026-07-30T17:24:49+00:00,core,financebench,yaml,recursive,512,claude,0,0,41,78,50,1.0,0.9,0.9256,0.96,0.8979,0.8782,0.8954,0.9555,26884,2145.7,2202.4,142.6,2145.7,20.03,0.3,2.58,4.32,0.914,0.7029320636157727,0.5833084168037075,0.2606060606060605,0.594714886780093
financebench_json_semantic_256_gpt,26f217f,2026-07-30T17:59:03+00:00,core,financebench,json,semantic,256,gpt,0,0,41,117,50,0.98,0.8907,0.9134,0.91,0.8153,0.8935,0.873,0.9617,30601,1405.0,1461.6,98.1,1405.0,30.7,,2.14,5.1,0.68565,0.6814566086119109,0.860180894005083,0.5272727272727271,0.7208825262986436
